"Date","Price","Open","High","Low","Vol.","Change %"
"05-09-2025","1,444.60","1,470.00","1,472.70","1,433.00","5.47M","-1.26%"
"04-09-2025","1,463.00","1,484.00","1,484.00","1,460.10","5.79M","-1.09%"
"03-09-2025","1,479.10","1,500.00","1,501.90","1,473.00","4.62M","-1.31%"
"02-09-2025","1,498.70","1,499.40","1,512.80","1,486.30","5.22M","-0.05%"
"01-09-2025","1,499.40","1,476.70","1,503.40","1,476.20","4.55M","2.03%"
"29-08-2025","1,469.60","1,501.90","1,501.90","1,467.70","8.17M","-2.03%"
"28-08-2025","1,500.10","1,529.60","1,529.60","1,498.00","5.44M","-1.93%"
"26-08-2025","1,529.60","1,523.00","1,538.40","1,518.60","15.99M","-0.16%"
"25-08-2025","1,532.10","1,506.70","1,539.00","1,506.70","10.69M","3.00%"
"22-08-2025","1,487.50","1,498.10","1,504.30","1,486.10","5.54M","-0.59%"
"21-08-2025","1,496.40","1,508.00","1,508.00","1,484.30","6.57M","0.01%"
"20-08-2025","1,496.20","1,440.70","1,499.00","1,440.70","10.41M","3.90%"
"19-08-2025","1,440.00","1,432.70","1,449.40","1,432.70","3.99M","0.29%"
"18-08-2025","1,435.80","1,464.70","1,464.70","1,429.60","7.25M","-0.82%"
"14-08-2025","1,447.70","1,426.20","1,470.00","1,426.20","12.90M","1.48%"
"13-08-2025","1,426.60","1,425.00","1,434.00","1,422.40","10.32M","0.18%"
"12-08-2025","1,424.10","1,428.20","1,441.00","1,421.00","9.90M","-0.29%"
"11-08-2025","1,428.20","1,419.90","1,433.40","1,414.00","6.63M","0.36%"
"08-08-2025","1,423.10","1,425.00","1,433.20","1,417.10","10.05M","-0.96%"
"07-08-2025","1,436.90","1,430.00","1,442.00","1,414.20","9.89M","0.01%"
